"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.794288015E1,-2.598476410E-2,-6.826859713E-2,4.532980919E-2
3.794538600E1,-1.917743683E-2,-6.476408243E-2,5.401301384E-2
3.794789163E1,-2.141571045E-2,-5.827808380E-2,5.097603798E-2
3.795039747E1,-4.865169525E-2,-4.122775793E-2,6.429815292E-2
3.795290324E1,-6.266307831E-2,-1.202398539E-2,6.412672997E-2
3.795540886E1,-6.573009491E-2,-1.191896200E-2,5.884933472E-2
3.795791470E1,-7.682800293E-2,-4.670530558E-2,3.071331978E-2
3.796042046E1,-7.467746735E-2,-3.146153688E-2,2.073168755E-2
3.796292608E1,-7.661724091E-2,-3.329455853E-2,-2.411532402E-2
3.796543192E1,-5.030345917E-2,-5.382812023E-2,-3.375482559E-2
3.796793770E1,-5.708694458E-2,-2.864909172E-2,-4.731059074E-2
3.797044354E1,-8.382987976E-2,-4.560589790E-3,-5.467772484E-2
3.797294915E1,-7.354450226E-2,1.506990194E-2,-5.427694321E-2
3.797545492E1,-6.127548218E-2,1.201909781E-2,-5.768370628E-2
3.797796077E1,-8.707427979E-2,2.289164066E-2,-7.213783264E-2
3.798046638E1,-6.075382233E-2,4.360842705E-2,-5.656266212E-2
3.798297223E1,-6.757545471E-2,4.421937466E-2,-6.319832802E-2
3.798547800E1,-4.325675964E-2,6.066918373E-2,-8.425617218E-2
3.798798361E1,2.598571777E-2,9.485375881E-2,-1.197149754E-1
3.799048947E1,1.928138733E-2,9.123873711E-2,-1.598823071E-1
3.799299524E1,1.454162598E-2,6.585150957E-2,-1.304001808E-1
3.799550109E1,5.672454834E-3,5.128461123E-2,-4.600954056E-2
3.799800670E1,-1.127719879E-2,6.076580286E-2,-5.314397812E-2
3.800051243E1,-2.819633484E-2,4.836130142E-2,-4.860234261E-2
3.800301828E1,-9.180068970E-3,4.699933529E-2,-3.678703308E-2
3.800552389E1,1.491928101E-2,1.581168175E-2,-4.057812691E-2
3.800802966E1,2.191543579E-2,3.071409464E-2,-4.385828972E-2
3.801053554E1,4.901981354E-2,3.241729736E-2,-6.757187843E-2
3.801304116E1,6.097793579E-2,5.303627253E-2,-9.585285187E-2
3.801554701E1,8.702278137E-2,4.281497002E-2,-8.355951309E-2
3.801805278E1,1.008281708E-1,4.146963358E-2,-8.900117874E-2
3.802055839E1,1.278953552E-1,5.014979839E-2,-1.007788181E-1
3.802306423E1,1.077318192E-1,6.080007553E-2,-1.063449383E-1
3.802557000E1,1.438331604E-1,5.745381117E-2,-1.280915737E-1
3.802807585E1,1.585092545E-1,4.409754276E-2,-1.519286633E-1
3.803058147E1,1.536321640E-1,4.172623158E-2,-1.167426109E-1
3.803308724E1,1.629981995E-1,5.632531643E-2,-1.251425743E-1
3.803559308E1,1.360797882E-1,5.788958073E-2,-1.058328152E-1
3.803809870E1,1.353111267E-1,3.928917646E-2,-8.566880226E-2
3.804060447E1,1.263780594E-1,3.409898281E-2,-9.551310539E-2
3.804311031E1,1.206407547E-1,7.045722008E-2,-9.442782402E-2
3.804561592E1,1.105852127E-1,6.297910213E-2,-6.135606766E-2
3.804812176E1,9.570026398E-2,6.126582623E-2,-6.359624863E-2
3.805062753E1,7.169055939E-2,6.974935532E-2,-4.446530342E-2
3.805313315E1,6.879615784E-2,7.294958830E-2,-3.472733498E-2
3.805563903E1,7.266998291E-2,6.750029325E-2,-3.873705864E-2
3.805814480E1,5.070495605E-2,8.944910765E-2,-1.506471634E-2
3.806065064E1,4.076576233E-2,8.380836248E-2,-2.492189407E-2
3.806315626E1,4.976177216E-2,1.096757054E-1,-3.902959824E-2
3.806566202E1,4.286575317E-2,9.899353981E-2,-4.291749001E-2
3.806816786E1,2.489662170E-2,1.158310175E-1,-3.293490410E-2
3.807067348E1,4.589271545E-2,1.338433623E-1,-4.968833923E-2
3.807317925E1,2.923679352E-2,1.057993174E-1,-6.647086143E-2
3.807568509E1,1.919078827E-2,1.187055111E-1,-3.730463982E-2
3.807819071E1,1.346302032E-2,1.205505133E-1,-5.812621117E-2
3.808069655E1,8.379936218E-3,1.124266386E-1,-3.387784958E-2
3.808320232E1,-8.264541626E-3,1.310294271E-1,-3.748846054E-2
3.808570794E1,-1.325225830E-2,1.327046156E-1,-5.197405815E-2
3.808821378E1,-1.883792877E-2,1.174221635E-1,-4.846215248E-2
3.809071956E1,-1.871490479E-2,1.242019534E-1,-5.289053917E-2
3.809322517E1,-1.220226288E-2,1.039963961E-1,-6.116175652E-2
3.809573103E1,-2.807426453E-2,1.010106206E-1,-6.056666374E-2
3.809823680E1,-2.855396271E-2,9.416300058E-2,-6.664776802E-2
3.810074265E1,-3.338050842E-2,9.534609318E-2,-4.416561127E-2
3.810324826E1,-2.703666687E-2,1.073025465E-1,-4.051351547E-2
3.810575410E1,-2.478694916E-2,1.163147092E-1,-5.691409111E-2
3.810825964E1,-4.931449890E-2,1.211652160E-1,-4.118561745E-2
3.811076548E1,-5.324077606E-2,9.841537476E-2,-4.075932503E-2
3.811327125E1,-6.164550781E-2,8.866840601E-2,-3.991079330E-2
3.811577707E1,-4.160213470E-2,8.801883459E-2,-3.251290321E-2
3.811828269E1,-5.403423309E-2,6.725335121E-2,-3.357553482E-2
3.812078853E1,-5.399894714E-2,6.875413656E-2,-4.455327988E-3
3.812329430E1,-6.452751160E-2,6.910765171E-2,1.144766808E-2
3.812579992E1,-5.738735199E-2,5.480241776E-2,-1.932024956E-2
3.812830575E1,-5.069828033E-2,6.027030945E-2,-8.272886276E-3
3.813081152E1,-4.080677032E-2,3.796660900E-2,1.275324821E-2
3.813331736E1,-3.617000580E-2,2.178251743E-2,2.846646309E-2
3.813582298E1,-3.121852875E-2,1.761734486E-2,9.590148926E-3
3.813832875E1,-2.260780334E-2,3.741234541E-2,2.247214317E-2
3.814083436E1,-2.267074585E-2,1.525592804E-2,2.729272842E-2
3.814334020E1,-1.592636108E-2,1.122552156E-2,1.139259338E-2
3.814584597E1,2.895355225E-3,2.300095558E-2,1.425266266E-2
3.814835182E1,-1.840782166E-2,1.692295074E-2,6.446838379E-3
3.815085745E1,-4.251480103E-3,1.482498646E-2,-1.544141769E-2
3.815336322E1,1.040649414E-2,1.269400120E-2,7.578849792E-3
3.815586906E1,7.423400879E-3,5.585730076E-3,-9.317874908E-3
3.815837468E1,1.210975647E-2,-5.805492401E-5,-1.723885536E-2
3.816088051E1,4.812717438E-2,-1.900017262E-2,-2.217864990E-2
3.816338628E1,7.170963287E-2,-4.354196787E-2,-2.553963661E-2
3.816589190E1,7.361412048E-2,-5.819427967E-2,-1.717805862E-3
3.816839774E1,7.812690735E-2,-7.265383005E-2,8.582592010E-3
3.817090352E1,8.308219910E-2,-4.138535261E-2,-2.939867973E-2
3.817340937E1,5.656623840E-2,-3.118807077E-2,-5.093860626E-2
3.817591498E1,3.961658478E-2,4.762947559E-3,-7.456851006E-2
3.817842075E1,3.218269348E-2,1.565867662E-2,-1.090314388E-1
3.818092658E1,3.624629974E-2,3.639024496E-2,-8.458900452E-2
3.818343220E1,3.549480438E-2,5.594426394E-2,-7.956624031E-2
3.818593797E1,2.175712585E-2,3.959876299E-2,-9.295773506E-2
3.818844381E1,1.969337463E-3,6.107968092E-2,-9.480237961E-2
3.819094943E1,-2.165889740E-2,6.057304144E-2,-1.128690243E-1
3.819345528E1,-2.727127075E-2,5.394893885E-2,-8.838844299E-2
3.819596105E1,-4.085350037E-2,5.542582273E-2,-9.447264671E-2
3.819846666E1,-4.451084137E-2,5.196028948E-2,-1.011116505E-1
3.820097251E1,-6.807899475E-2,2.987897396E-2,-1.120402813E-1
3.820347828E1,-7.577991486E-2,2.867633104E-2,-9.981513023E-2
3.820598412E1,-7.239532471E-2,3.059804440E-2,-1.008186340E-1
3.820848974E1,-7.621097565E-2,2.947336435E-2,-6.200098991E-2
3.821099552E1,-6.387233734E-2,7.567226887E-3,-8.323931694E-2
3.821350137E1,-8.148670197E-2,3.667950630E-3,-9.706473351E-2
3.821600698E1,-7.122039795E-2,3.643989563E-3,-9.108638763E-2
3.821851283E1,-7.686138153E-2,1.479876041E-2,-8.094215393E-2
3.822101860E1,-7.165145874E-2,2.832293510E-3,-5.934429169E-2
3.822352420E1,-6.528377533E-2,1.103490591E-2,-6.824207306E-2
3.822603004E1,-6.199359894E-2,-2.990186214E-3,-6.756782532E-2
3.822853581E1,-3.867816925E-2,1.230007410E-2,-5.938959122E-2
3.823104143E1,-1.602172852E-3,1.613199711E-3,-1.671934128E-2
3.823354728E1,1.557540894E-2,-5.572438240E-4,-3.062772751E-2
3.823605305E1,1.950454712E-2,2.531886101E-2,-2.346324921E-2
3.823855890E1,4.255390167E-2,1.733064651E-2,-2.593064308E-2
3.824106451E1,5.257320404E-2,2.804511786E-2,-1.890611649E-2
3.824357028E1,8.266162872E-2,3.205960989E-2,-3.745770454E-2
3.824607612E1,1.045436859E-1,3.673940897E-2,-4.748916626E-2
3.824858174E1,9.366226196E-2,3.763091564E-2,-5.690622330E-2
3.825108758E1,7.354736328E-2,6.439697742E-2,-5.762815475E-2
3.825359334E1,7.355499268E-2,4.003167152E-2,-4.554128647E-2
3.825609896E1,6.050300598E-2,4.100006819E-2,-3.819727898E-2
3.825860480E1,5.044364929E-2,4.260742664E-2,-2.915024757E-2
3.826111057E1,2.442932129E-2,4.519015551E-2,-2.221345901E-3
