"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.046407269E1,6.290049333E1,2.766592167E1,1.015482128E2,6.742861122E-2,4.484999847E1,1.600000024E0,1.550000000E1
1.145807269E1,6.290049500E1,2.766592167E1,1.015482148E2,1.369161159E-1,1.303999996E1,1.600000024E0,1.539999962E1
1.245807269E1,6.290049667E1,2.766592000E1,1.010482168E2,7.926721871E-2,3.470299988E2,1.500000000E0,1.439999962E1
1.345807269E1,6.290049833E1,2.766591500E1,1.012482190E2,5.095750093E-2,2.796600037E2,1.500000000E0,1.400000000E1
1.445807269E1,6.290050000E1,2.766591500E1,1.018482210E2,1.441222243E-2,2.033699951E2,1.500000000E0,1.360000038E1
1.545807269E1,6.290050333E1,2.766590833E1,1.025482251E2,2.985388972E-2,3.005700073E2,1.399999976E0,1.210000038E1
1.645807268E1,6.290050500E1,2.766589667E1,1.035482274E2,4.735444486E-2,2.477799988E2,1.299999952E0,1.139999962E1
1.745807268E1,6.290050667E1,2.766589167E1,1.040482296E2,7.772305608E-2,2.647600098E2,1.299999952E0,1.139999962E1
1.845807268E1,6.290050667E1,2.766588333E1,1.044482298E2,2.058888823E-1,2.625599976E2,1.299999952E0,1.119999981E1
1.945807268E1,6.290050667E1,2.766587500E1,1.047482300E2,2.182422280E-1,2.623999939E2,1.299999952E0,1.110000038E1
2.045807268E1,6.290050500E1,2.766587000E1,1.049482281E2,2.305955589E-1,2.489199982E2,1.399999976E0,1.160000038E1
2.145807268E1,6.290050167E1,2.766586667E1,1.051482242E2,1.116947234E-1,2.598599854E2,1.399999976E0,1.200000000E1
2.245807268E1,6.290050000E1,2.766587000E1,1.054482221E2,1.122094467E-1,2.630700073E2,1.500000000E0,1.210000038E1
2.345807268E1,6.290049833E1,2.766587500E1,1.058482200E2,1.183861122E-1,2.049400024E2,1.500000000E0,1.200000000E1
2.445807268E1,6.290049667E1,2.766587833E1,1.060482179E2,1.317688823E-1,4.316999817E1,1.500000000E0,1.210000038E1
2.545807268E1,6.290049833E1,2.766588500E1,1.064482197E2,1.420633346E-1,6.120999908E1,1.500000000E0,1.160000038E1
2.645807268E1,6.290049833E1,2.766588833E1,1.067482196E2,1.446369439E-1,6.213000107E1,1.399999976E0,1.130000019E1
2.745807268E1,6.290049667E1,2.766588833E1,1.070482176E2,1.384602785E-1,2.163999939E2,1.399999976E0,1.130000019E1
2.845807268E1,6.290049333E1,2.766589000E1,1.072482136E2,1.255922168E-1,1.976100006E2,1.399999976E0,1.119999981E1
2.945807268E1,6.290049167E1,2.766588833E1,1.074482116E2,1.152977794E-1,2.159700012E2,1.399999976E0,1.100000000E1
3.045807268E1,6.290049000E1,2.766589000E1,1.076482096E2,9.522361308E-2,2.001300049E2,1.399999976E0,1.060000038E1
3.145807268E1,6.290049000E1,2.766589000E1,1.078482096E2,8.235555887E-2,2.490500031E2,1.399999976E0,1.039999962E1
3.245807269E1,6.290049000E1,2.766589167E1,1.079482095E2,0.000000000E0,3.273299866E2,1.399999976E0,1.030000019E1
3.345807269E1,6.290049000E1,2.766589500E1,1.080482094E2,0.000000000E0,2.417000008E1,1.399999976E0,9.300000191E0
3.445807269E1,6.290049000E1,2.766589500E1,1.081482094E2,0.000000000E0,3.349700012E2,1.399999976E0,9.300000191E0
3.545807269E1,6.290049000E1,2.766589500E1,1.081482094E2,0.000000000E0,3.349700012E2,1.399999976E0,9.199999809E0
3.645807269E1,6.290049000E1,2.766589500E1,1.081482094E2,0.000000000E0,3.349700012E2,1.399999976E0,9.300000191E0
3.745807269E1,6.290049000E1,2.766589500E1,1.081482094E2,0.000000000E0,3.349700012E2,1.399999976E0,9.100000381E0
3.845807269E1,6.290049000E1,2.766589500E1,1.081482094E2,0.000000000E0,3.349700012E2,1.399999976E0,9.300000191E0
3.945807269E1,6.290049000E1,2.766589500E1,1.081482094E2,0.000000000E0,3.349700012E2,1.399999976E0,9.399999619E0
4.045807269E1,6.290049000E1,2.766589500E1,1.081482094E2,0.000000000E0,3.349700012E2,1.500000000E0,9.399999619E0
4.145807269E1,6.290049000E1,2.766589500E1,1.081482094E2,0.000000000E0,3.349700012E2,1.399999976E0,8.699999809E0
4.245807269E1,6.290049000E1,2.766589500E1,1.081482094E2,0.000000000E0,3.349700012E2,1.399999976E0,8.000000000E0
4.345807269E1,6.290048833E1,2.766591500E1,1.075482069E2,1.935355514E-1,1.182600021E2,1.500000000E0,8.300000191E0
4.445807269E1,6.290048833E1,2.766593167E1,1.074482065E2,2.408899963E-1,1.053899994E2,1.500000000E0,8.500000000E0
4.545807269E1,6.290049167E1,2.766594833E1,1.072482101E2,3.186130524E-1,1.013099976E2,1.500000000E0,8.600000381E0
4.645807269E1,6.290049333E1,2.766597500E1,1.070482114E2,4.313372076E-1,9.319999695E1,1.500000000E0,8.300000191E0
4.745807269E1,6.290049333E1,2.766600167E1,1.068482107E2,5.481791496E-1,1.061100006E2,1.500000000E0,8.600000381E0
4.845807269E1,6.290049000E1,2.766603000E1,1.067482060E2,6.928161383E-1,1.034400024E2,1.500000000E0,8.600000381E0
4.945807269E1,6.290048667E1,2.766605667E1,1.067482013E2,7.839219570E-1,1.092200012E2,1.600000024E0,8.600000381E0
5.045807269E1,6.290048167E1,2.766607333E1,1.066481949E2,8.343647122E-1,1.110699997E2,1.600000024E0,8.500000000E0
5.145807269E1,6.290047833E1,2.766608833E1,1.066481905E2,8.765719533E-1,1.215400009E2,1.600000024E0,8.600000381E0
5.245807269E1,6.290047167E1,2.766610333E1,1.065481821E2,9.048816562E-1,1.233700027E2,1.600000024E0,8.600000381E0
5.345807269E1,6.290046500E1,2.766612167E1,1.063481736E2,9.388533235E-1,1.263799973E2,1.600000024E0,8.800000191E0
5.445807269E1,6.290045833E1,2.766614000E1,1.062481651E2,9.728249907E-1,1.258300018E2,1.700000048E0,9.000000000E0
5.545807269E1,6.290045167E1,2.766616167E1,1.060481565E2,9.949580431E-1,1.256699982E2,1.700000048E0,9.300000191E0
5.645807269E1,6.290044667E1,2.766618000E1,1.058481501E2,9.347355366E-1,9.998000336E1,1.700000048E0,9.000000000E0
5.745807269E1,6.290044167E1,2.766619833E1,1.056481436E2,8.904694319E-1,1.095199966E2,1.600000024E0,8.899999619E0
5.845807269E1,6.290043833E1,2.766622000E1,1.053481390E2,8.328205347E-1,1.028300018E2,1.600000024E0,9.000000000E0
5.945807269E1,6.290043833E1,2.766624667E1,1.052481383E2,8.266438842E-1,9.987000275E1,1.600000024E0,9.000000000E0
6.045807269E1,6.290043833E1,2.766627333E1,1.050481377E2,8.436297178E-1,9.334999847E1,1.600000024E0,9.000000000E0
6.145807269E1,6.290044000E1,2.766630000E1,1.049481390E2,8.909841776E-1,6.570999908E1,1.700000048E0,9.399999619E0
6.245807269E1,6.290044500E1,2.766632000E1,1.049481445E2,9.393680692E-1,5.772999954E1,1.700000048E0,9.800000191E0
6.345807269E1,6.290045333E1,2.766633333E1,1.049481542E2,9.434858561E-1,5.883000183E1,1.799999952E0,1.030000019E1
6.445807268E1,6.290046333E1,2.766634167E1,1.048481661E2,9.038522243E-1,4.293000031E1,1.799999952E0,1.000000000E1
6.545807268E1,6.290047167E1,2.766635500E1,1.047481757E2,8.657627702E-1,5.266999817E1,1.700000048E0,9.899999619E0
6.645807268E1,6.290047667E1,2.766637667E1,1.046481812E2,8.745130301E-1,6.074000168E1,1.700000048E0,9.800000191E0
6.745807268E1,6.290048333E1,2.766640500E1,1.045481885E2,8.837780356E-1,5.977999878E1,1.700000048E0,9.300000191E0
6.845807268E1,6.290049000E1,2.766643500E1,1.045481958E2,8.884105682E-1,5.597000122E1,1.700000048E0,9.100000381E0
6.945807268E1,6.290049667E1,2.766646833E1,1.045482030E2,9.002491832E-1,7.034999847E1,1.799999952E0,9.399999619E0
7.045807268E1,6.290050000E1,2.766650000E1,1.045482062E2,9.208380580E-1,7.868000031E1,1.700000048E0,9.699999809E0
7.145807268E1,6.290050167E1,2.766653000E1,1.044482075E2,8.781161308E-1,9.277999878E1,1.700000048E0,1.000000000E1
7.245807268E1,6.290050000E1,2.766655667E1,1.044482048E2,8.564977646E-1,8.984999847E1,1.700000048E0,1.030000019E1
7.345807268E1,6.290050000E1,2.766658000E1,1.043482042E2,8.606155515E-1,8.651000214E1,1.799999952E0,1.000000000E1
7.445807268E1,6.290050167E1,2.766660333E1,1.042482056E2,8.987050056E-1,8.394999695E1,1.799999952E0,9.800000191E0
7.545807268E1,6.290050167E1,2.766662833E1,1.042482050E2,9.290736318E-1,8.390000153E1,1.700000048E0,9.899999619E0
7.645807268E1,6.290050167E1,2.766665333E1,1.041482043E2,9.635599852E-1,8.236000061E1,1.700000048E0,9.500000000E0
7.745807268E1,6.290050333E1,2.766668000E1,1.043482057E2,9.728249907E-1,8.373999786E1,1.799999952E0,9.699999809E0
7.845807268E1,6.290050667E1,2.766670667E1,1.043482090E2,9.697366953E-1,8.597000122E1,1.700000048E0,9.500000000E0
7.945807268E1,6.290050500E1,2.766674000E1,1.041482062E2,9.717955589E-1,9.161000061E1,1.799999952E0,9.399999619E0
8.045807268E1,6.290050500E1,2.766677000E1,1.038482054E2,9.707661271E-1,9.176000214E1,1.799999952E0,9.399999619E0
8.145807268E1,6.290050500E1,2.766679500E1,1.038482048E2,1.016576409E0,9.268000031E1,1.799999952E0,9.300000191E0
8.245807268E1,6.290050333E1,2.766682167E1,1.038482021E2,1.047459722E0,9.954000092E1,1.799999952E0,9.300000191E0
8.345807268E1,6.290050167E1,2.766684833E1,1.037481994E2,1.064960241E0,1.018000031E2,1.799999952E0,9.100000381E0
8.445807268E1,6.290049833E1,2.766687667E1,1.036481947E2,1.090696335E0,9.937999725E1,1.799999952E0,9.100000381E0
8.545807268E1,6.290049167E1,2.766689833E1,1.039481861E2,1.086063862E0,1.228099976E2,1.799999952E0,9.100000381E0
8.645807268E1,6.290048500E1,2.766692500E1,1.040481774E2,1.096873045E0,1.226100006E2,1.799999952E0,9.000000000E0
8.745807268E1,6.290047500E1,2.766695167E1,1.041481647E2,1.122094393E0,1.196800003E2,1.799999952E0,9.199999809E0
8.845807268E1,6.290046833E1,2.766698000E1,1.040481560E2,1.115403056E0,1.373999939E2,1.799999952E0,9.199999809E0
8.945807268E1,6.290046167E1,2.766700333E1,1.043481474E2,1.113344193E0,1.169199982E2,1.799999952E0,9.199999809E0
9.045807268E1,6.290045667E1,2.766702833E1,1.043481407E2,1.103049755E0,1.186299973E2,1.799999952E0,9.199999809E0
9.145807268E1,6.290045000E1,2.766705833E1,1.044481319E2,1.114888310E0,1.211100006E2,1.799999952E0,9.300000191E0
9.245807268E1,6.290044500E1,2.766709000E1,1.044481251E2,1.129815221E0,1.097799988E2,1.899999976E0,9.399999619E0
9.345807268E1,6.290043833E1,2.766712167E1,1.047481163E2,1.149374723E0,1.172600021E2,1.899999976E0,9.600000381E0
9.445807268E1,6.290043167E1,2.766714833E1,1.047481076E2,1.146801114E0,1.233399963E2,1.899999976E0,9.399999619E0
9.545807268E1,6.290043000E1,2.766717500E1,1.050481049E2,1.138565540E0,1.211900024E2,1.799999952E0,9.300000191E0
9.645807268E1,6.290042667E1,2.766719333E1,1.051481004E2,1.117461920E0,1.156900024E2,1.799999952E0,9.300000191E0
9.745807268E1,6.290042333E1,2.766721500E1,1.052480959E2,1.078343034E0,1.164400024E2,1.799999952E0,9.399999619E0
9.845807268E1,6.290042000E1,2.766723333E1,1.054480914E2,1.079372525E0,1.057399979E2,1.799999952E0,9.600000381E0
9.945807268E1,6.290041667E1,2.766726000E1,1.055480867E2,1.091725826E0,1.198499985E2,1.799999952E0,9.600000381E0
1.004580727E2,6.290040833E1,2.766728167E1,1.054480761E2,1.091211081E0,1.205699997E2,1.899999976E0,9.399999619E0
1.014580727E2,6.290040667E1,2.766730167E1,1.054480736E2,1.032532811E0,1.031500015E2,1.899999976E0,9.800000191E0
1.024580727E2,6.290040333E1,2.766732333E1,1.054480691E2,9.753986001E-1,1.055999985E2,1.899999976E0,9.500000000E0
1.034580727E2,6.290039500E1,2.766735000E1,1.054480583E2,9.512066841E-1,1.117799988E2,1.799999952E0,9.500000000E0
1.044580727E2,6.290038833E1,2.766738000E1,1.054480496E2,9.548097253E-1,1.100699997E2,1.799999952E0,9.500000000E0
1.054580727E2,6.290038333E1,2.766740167E1,1.052480430E2,9.615011215E-1,1.118700027E2,1.799999952E0,9.500000000E0
